order_id,restaurant_lat,restaurant_lon,customer_lat,customer_lon,order_hour,order_day,order_month,weather,traffic,vehicle_type,num_items,restaurant_rating,delivery_person_age,delivery_person_exp,delivery_status
1,12.962362035654209,77.56209224554001,13.06899949329699,77.64144337051165,23,5,1,Windy,Medium,Car,6,1.0,21,0,1
2,13.135214291922976,77.54987362886942,12.905353598679612,77.58778773606026,20,0,10,Windy,High,Scooter,2,4.9,42,2,1
3,13.069598182543421,77.50284617375085,12.953991908310966,77.73934955745918,0,4,8,Clear,Low,Bike,9,2.5,34,4,1
4,13.029597545259112,77.63218000103045,13.048984191057345,77.51569353529527,19,4,2,Foggy,High,Car,3,3.1,48,6,2
5,12.896805592132731,77.5929872481526,12.994626803357344,77.62635692479968,2,0,3,Windy,Low,Car,4,1.4,35,0,0
6,12.896798356100861,77.7097102976972,13.071571311590468,77.66006300449706,12,6,7,Windy,Medium,Scooter,5,3.1,49,5,0
7,12.86742508365046,77.45963287414462,13.138362370366858,77.69766934680362,6,2,2,Rainy,High,Car,3,4.6,43,4,2
8,13.109852843732481,77.64316037826654,12.88496400631456,77.57209130912841,5,2,12,Rainy,Low,Scooter,7,4.5,31,8,1
9,13.030334503522962,77.67888466355348,13.062870314919419,77.65607657229725,5,2,4,Foggy,High,Bike,2,3.3,22,7,1
10,13.062421773338814,77.6778459707565,12.919103246689634,77.5409604414153,1,4,12,Windy,High,Car,7,4.4,38,6,1
11,12.85617534828874,77.71582219012866,12.974343018222271,77.58064282770854,15,5,7,Foggy,Medium,Bike,5,2.5,22,3,0
12,13.140972955648598,77.66871012284885,12.859858817738541,77.71868813936102,5,1,12,Rainy,High,Bike,9,1.8,41,8,2
13,13.099732792240127,77.72834301849431,12.890772214687809,77.73497228279929,7,6,3,Rainy,High,Scooter,2,2.7,27,2,2
14,12.913701733203483,77.54979697994627,12.94593318671467,77.66564520407817,20,4,2,Rainy,Medium,Scooter,9,4.2,19,2,2
15,12.90454749016213,77.60096282502546,12.952595741586395,77.56230556723285,10,3,8,Clear,High,Car,9,3.8,43,9,1
16,12.90502135295603,77.45422389898486,13.11987556493863,77.6960173369924,17,6,2,Clear,Medium,Bike,8,2.5,26,3,0
17,12.94127267288786,77.452087276191,13.072543872779955,77.45776012451763,22,3,10,Rainy,High,Scooter,5,2.4,33,6,1
18,13.007426929489672,77.52203798613546,13.141654890456113,77.48082377316183,5,5,7,Rainy,Low,Car,3,4.9,38,8,1
19,12.979583505592634,77.48024215914172,13.029721453100573,77.64841212091261,13,6,11,Clear,Low,Bike,1,2.1,47,6,0
20,12.937368742059412,77.52806341038072,12.922514119627396,77.53737457258102,14,4,3,Rainy,Low,Car,3,2.2,24,4,1
21,13.033555868416714,77.50311298835852,12.948296508976492,77.73541586552014,10,4,4,Rainy,Medium,Bike,6,2.4,42,6,1
22,12.891848158195613,77.45855600745159,12.94595077698759,77.5808181836277,14,0,6,Clear,Medium,Bike,4,4.1,38,0,1
23,12.937643394560565,77.72279124392182,12.947948298298975,77.57880944611675,12,2,11,Clear,Medium,Car,6,4.4,21,6,1
24,12.959908552988107,77.45246693941667,13.051889251933545,77.65342385305728,5,5,3,Clear,Medium,Bike,4,1.9,48,0,0
25,12.986820995265111,77.67082464330113,13.009242378427125,77.68027056869185,3,0,1,Rainy,Medium,Scooter,9,2.6,49,3,1
26,13.085552788417905,77.49564436607585,12.965627253425993,77.59266762143754,13,5,12,Rainy,Medium,Car,8,4.5,42,2,2
27,12.909902134647508,77.72366888659988,12.894726930618615,77.51420027051351,12,3,8,Windy,High,Bike,6,2.3,25,1,2
28,13.004270331524083,77.71783878187696,12.856641748882643,77.68199259281769,9,3,4,Rainy,Low,Bike,8,2.6,46,7,1
29,13.027724370658612,77.64617034391078,12.915650403276308,77.54610538246209,21,1,1,Rainy,Medium,Bike,7,3.2,20,0,2
30,12.863935123815999,77.65167024494018,12.882241421190605,77.50253323078816,11,2,2,Clear,High,Bike,5,3.6,21,4,0
31,13.032263455570432,77.45160174259091,13.085633509255672,77.6394920569775,23,2,6,Foggy,High,Bike,9,2.2,48,0,2
32,12.901157237106187,77.74546146983408,12.883749387344166,77.47713610009711,7,5,1,Rainy,Medium,Car,4,3.3,42,6,0
33,12.869515477895584,77.71334978107275,13.067268471192051,77.74140580252582,19,3,9,Rainy,Low,Car,4,3.9,34,2,1
34,13.134665661176001,77.71853186771902,12.965697606932824,77.63971917932365,4,0,7,Rainy,Medium,Scooter,9,1.4,44,5,1
35,13.139689609922367,77.64777336111526,12.872013516923133,77.74576865627652,1,4,8,Windy,Low,Scooter,4,5.0,33,6,0
36,13.09251920443494,77.55343607859636,13.093819014829476,77.55166802704359,19,2,8,Clear,Low,Car,4,4.7,40,9,0
37,12.941384130752011,77.71809459472715,13.023889171070984,77.74136154835712,11,4,6,Windy,Medium,Car,8,1.6,32,0,0
38,12.879301634201916,77.53745507844536,12.920728453859072,77.49366867431858,5,3,8,Windy,Low,Bike,6,2.3,43,9,0
39,13.055269907953647,77.61881346300267,13.1184043522998,77.46220843170411,14,1,7,Foggy,Low,Scooter,7,2.1,32,6,1
40,12.98204574812188,77.47991929170317,12.863577494161165,77.45989521813638,17,3,1,Rainy,Low,Scooter,4,1.1,36,7,1
41,12.886611470453433,77.72658668903982,12.910545882459328,77.58946111117977,17,4,3,Windy,Medium,Scooter,1,3.0,43,0,0
42,12.998553073033381,77.49223113733137,13.075614078341758,77.47490125924358,9,3,9,Windy,Low,Bike,4,1.6,47,9,0
43,12.860316556334565,77.51746904171912,13.062813379092967,77.60365036525029,6,2,8,Windy,Low,Scooter,4,1.5,40,2,0
44,13.122796120623635,77.61744024743847,12.936781508117344,77.54825015105267,9,5,5,Clear,High,Bike,2,1.8,42,7,1
45,12.927633994480004,77.67922790006389,12.868607462605835,77.55068869774223,4,5,1,Rainy,Medium,Bike,8,4.0,27,5,1
46,13.048756685306195,77.63580539178089,13.107423421667484,77.64068269896356,15,4,2,Windy,Low,Bike,5,1.5,28,1,0
47,12.943513322826822,77.51964017384005,12.94410929142097,77.49892940184549,18,4,10,Rainy,Medium,Bike,9,3.5,30,1,1
48,13.006020406353343,77.45028291275825,12.90871402447848,77.67996601110193,2,1,10,Rainy,Medium,Car,5,2.2,29,5,0
49,13.014013083802984,77.67714517409223,13.004818546708293,77.6246092759336,6,6,9,Foggy,High,Scooter,4,1.3,18,6,1
50,12.905456336657657,77.74556219777332,13.123068159784735,77.72448338865425,18,2,12,Clear,High,Car,3,4.9,21,2,1
51,13.140875388329368,77.69297393609183,12.863063973353013,77.55945219613025,11,0,10,Windy,Low,Scooter,1,3.6,48,6,0
52,13.082539847008334,77.58806198544698,13.079741226409267,77.74481449762014,9,6,8,Windy,Low,Car,7,1.8,36,7,1
53,13.131849682469257,77.72113017841973,13.021741968381614,77.6227482940142,4,1,9,Foggy,Low,Bike,9,3.0,39,3,1
54,13.118448205128296,77.57295430193551,12.977634734965545,77.74202058685626,1,2,2,Windy,Medium,Car,2,2.6,21,1,0
55,13.029369993643325,77.60748022527304,13.073224133231518,77.45811819621414,2,5,3,Clear,High,Bike,4,1.7,22,4,0
56,13.126562270506936,77.5931389302187,13.13974732733249,77.66839289672372,13,0,3,Windy,High,Car,8,4.8,30,4,2
57,12.876547750615575,77.58428716179967,12.918761863348807,77.69498645728783,14,6,1,Clear,Low,Bike,9,4.4,38,9,1
58,12.908794858725743,77.68255723078818,12.893094209521635,77.46595198600295,19,5,2,Windy,High,Car,9,2.5,36,8,2
59,12.863568186673161,77.60803067218085,13.123864523566809,77.62369089920487,12,4,10,Rainy,Medium,Bike,6,4.2,33,0,2
60,12.94759909922898,77.54501513660756,13.050685923237191,77.69058268807683,16,5,5,Rainy,Low,Scooter,2,1.8,48,1,1
61,12.966603186906845,77.52744745029754,12.98139580646859,77.61831161756692,19,6,7,Foggy,High,Bike,1,1.3,40,4,2
62,12.931404709532169,77.46132419509023,13.021977871079285,77.46914407712164,3,1,6,Windy,Low,Car,4,3.1,46,9,0
